Date,Value
5 September 2021,0
12 September 2021,0
19 September 2021,0
26 September 2021,0
3 October 2021,4
10 October 2021,5
17 October 2021,0
24 October 2021,0
31 October 2021,0
7 November 2021,0
14 November 2021,3
21 November 2021,12
28 November 2021,20
5 December 2021,55
12 December 2021,26
19 December 2021,36
26 December 2021,33
2 January 2022,15
9 January 2022,14
16 January 2022,7
23 January 2022,10
30 January 2022,14
6 February 2022,7
13 February 2022,12
20 February 2022,11
27 February 2022,9
6 March 2022,8
13 March 2022,11
20 March 2022,0
27 March 2022,11
3 April 2022,9
10 April 2022,5
17 April 2022,9
24 April 2022,10
1 May 2022,23
8 May 2022,29
15 May 2022,15
22 May 2022,17
29 May 2022,25
5 June 2022,33
12 June 2022,48
19 June 2022,34
26 June 2022,22
3 July 2022,20
10 July 2022,33
17 July 2022,28
24 July 2022,36
31 July 2022,34
7 August 2022,89
14 August 2022,60
21 August 2022,51
28 August 2022,67
4 September 2022,99
11 September 2022,99
18 September 2022,78
25 September 2022,73
2 October 2022,93
9 October 2022,100
16 October 2022,77
23 October 2022,70
30 October 2022,65
6 November 2022,67
13 November 2022,76
