Date,Value
19 November 2017,30
26 November 2017,29
3 December 2017,29
10 December 2017,26
17 December 2017,25
24 December 2017,21
31 December 2017,26
7 January 2018,30
14 January 2018,29
21 January 2018,29
28 January 2018,30
4 February 2018,28
11 February 2018,28
18 February 2018,29
25 February 2018,28
4 March 2018,29
11 March 2018,29
18 March 2018,27
25 March 2018,26
1 April 2018,24
8 April 2018,28
15 April 2018,30
22 April 2018,30
29 April 2018,27
6 May 2018,34
13 May 2018,30
20 May 2018,29
27 May 2018,27
3 June 2018,28
10 June 2018,27
17 June 2018,26
24 June 2018,27
1 July 2018,24
8 July 2018,25
15 July 2018,26
22 July 2018,23
29 July 2018,26
5 August 2018,23
12 August 2018,25
19 August 2018,25
26 August 2018,24
2 September 2018,29
9 September 2018,32
16 September 2018,28
23 September 2018,31
30 September 2018,30
7 October 2018,34
14 October 2018,35
21 October 2018,31
28 October 2018,31
4 November 2018,38
11 November 2018,35
18 November 2018,35
25 November 2018,30
2 December 2018,30
9 December 2018,27
16 December 2018,26
23 December 2018,22
30 December 2018,23
6 January 2019,29
13 January 2019,29
20 January 2019,29
27 January 2019,32
3 February 2019,32
10 February 2019,34
17 February 2019,33
24 February 2019,30
3 March 2019,34
10 March 2019,27
17 March 2019,33
24 March 2019,31
31 March 2019,30
7 April 2019,30
14 April 2019,29
21 April 2019,29
28 April 2019,34
5 May 2019,29
12 May 2019,34
19 May 2019,31
26 May 2019,28
2 June 2019,31
9 June 2019,34
16 June 2019,33
23 June 2019,30
30 June 2019,28
7 July 2019,28
14 July 2019,28
21 July 2019,29
28 July 2019,26
4 August 2019,26
11 August 2019,29
18 August 2019,28
25 August 2019,26
1 September 2019,29
8 September 2019,28
15 September 2019,34
22 September 2019,35
29 September 2019,32
6 October 2019,33
13 October 2019,34
20 October 2019,32
27 October 2019,32
3 November 2019,33
10 November 2019,35
17 November 2019,33
24 November 2019,31
1 December 2019,32
8 December 2019,30
15 December 2019,28
22 December 2019,24
29 December 2019,24
5 January 2020,33
12 January 2020,36
19 January 2020,34
26 January 2020,35
2 February 2020,34
9 February 2020,34
16 February 2020,35
23 February 2020,35
1 March 2020,36
8 March 2020,31
15 March 2020,27
22 March 2020,28
29 March 2020,31
5 April 2020,30
12 April 2020,34
19 April 2020,34
26 April 2020,36
3 May 2020,35
10 May 2020,35
17 May 2020,34
24 May 2020,32
31 May 2020,32
7 June 2020,33
14 June 2020,31
21 June 2020,32
28 June 2020,31
5 July 2020,32
12 July 2020,30
19 July 2020,31
26 July 2020,30
2 August 2020,29
9 August 2020,31
16 August 2020,30
23 August 2020,31
30 August 2020,31
6 September 2020,32
13 September 2020,32
20 September 2020,33
27 September 2020,33
4 October 2020,32
11 October 2020,33
18 October 2020,31
25 October 2020,28
1 November 2020,30
8 November 2020,33
15 November 2020,35
22 November 2020,33
29 November 2020,33
6 December 2020,33
13 December 2020,30
20 December 2020,32
27 December 2020,30
3 January 2021,37
10 January 2021,38
17 January 2021,35
24 January 2021,37
31 January 2021,35
7 February 2021,34
14 February 2021,35
21 February 2021,34
28 February 2021,34
7 March 2021,42
14 March 2021,44
21 March 2021,40
28 March 2021,32
4 April 2021,30
11 April 2021,33
18 April 2021,34
25 April 2021,32
2 May 2021,31
9 May 2021,32
16 May 2021,31
23 May 2021,36
30 May 2021,33
6 June 2021,31
13 June 2021,26
20 June 2021,28
27 June 2021,26
4 July 2021,27
11 July 2021,29
18 July 2021,28
25 July 2021,28
1 August 2021,26
8 August 2021,27
15 August 2021,31
22 August 2021,29
29 August 2021,26
5 September 2021,29
12 September 2021,31
19 September 2021,32
26 September 2021,28
3 October 2021,33
10 October 2021,32
17 October 2021,36
24 October 2021,34
31 October 2021,34
7 November 2021,34
14 November 2021,36
21 November 2021,36
28 November 2021,41
5 December 2021,42
12 December 2021,39
19 December 2021,36
26 December 2021,35
2 January 2022,42
9 January 2022,44
16 January 2022,42
23 January 2022,42
30 January 2022,41
6 February 2022,46
13 February 2022,46
20 February 2022,45
27 February 2022,43
6 March 2022,45
13 March 2022,47
20 March 2022,44
27 March 2022,46
3 April 2022,46
10 April 2022,41
17 April 2022,48
24 April 2022,48
1 May 2022,52
8 May 2022,54
15 May 2022,50
22 May 2022,49
29 May 2022,39
5 June 2022,63
12 June 2022,100
19 June 2022,62
26 June 2022,57
3 July 2022,51
10 July 2022,54
17 July 2022,53
24 July 2022,54
31 July 2022,58
7 August 2022,71
14 August 2022,65
21 August 2022,63
28 August 2022,59
4 September 2022,67
11 September 2022,63
18 September 2022,61
25 September 2022,69
2 October 2022,68
9 October 2022,73
16 October 2022,70
23 October 2022,70
30 October 2022,76
6 November 2022,72
13 November 2022,61
