Date,Value
21 November 2021,0
28 November 2021,0
5 December 2021,0
12 December 2021,0
19 December 2021,0
26 December 2021,0
2 January 2022,0
9 January 2022,0
16 January 2022,0
23 January 2022,0
30 January 2022,0
6 February 2022,0
13 February 2022,0
20 February 2022,0
27 February 2022,0
6 March 2022,0
13 March 2022,0
20 March 2022,0
27 March 2022,0
3 April 2022,2
10 April 2022,3
17 April 2022,3
24 April 2022,1
1 May 2022,2
8 May 2022,1
15 May 2022,3
22 May 2022,2
29 May 2022,5
5 June 2022,73
12 June 2022,100
19 June 2022,48
26 June 2022,26
3 July 2022,14
10 July 2022,15
17 July 2022,14
24 July 2022,13
31 July 2022,15
7 August 2022,16
14 August 2022,12
21 August 2022,13
28 August 2022,10
4 September 2022,10
11 September 2022,8
18 September 2022,7
25 September 2022,10
2 October 2022,9
9 October 2022,9
16 October 2022,7
23 October 2022,7
30 October 2022,7
6 November 2022,6
13 November 2022,3
